fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubos;furtos;sequestro_relampago;estelionato;trafico_drogas
3305109;São João de Meriti;2014;1;Baixada Fluminense;23;0;0;0;7;613;251;0;92;9
3305133;São José de Ubá;2014;1;Interior;0;0;0;0;0;0;0;0;0;0
3305158;São José do Vale do Rio Preto;2014;1;Interior;0;0;0;0;0;0;9;0;0;0
3305208;São Pedro da Aldeia;2014;1;Interior;4;0;1;0;4;20;67;0;9;7
3305307;São Sebastião do Alto;2014;1;Interior;1;0;0;0;1;0;4;0;0;0
3305406;Sapucaia;2014;1;Interior;0;0;0;0;0;2;9;0;1;0
3305505;Saquarema;2014;1;Interior;1;0;0;0;6;21;104;0;7;3
3305554;Seropédica;2014;1;Baixada Fluminense;3;0;0;0;3;28;46;0;8;3
3305604;Silva Jardim;2014;1;Interior;1;0;0;0;1;2;12;0;1;3
3305703;Sumidouro;2014;1;Interior;0;0;0;0;0;0;4;0;1;1
3305752;Tanguá;2014;1;Interior;1;0;0;0;1;13;11;0;2;5
3305802;Teresópolis;2014;1;Interior;1;0;0;1;2;5;101;0;47;20
3305901;Trajano de Moraes;2014;1;Interior;0;0;0;0;0;0;3;0;2;1
3306008;Três Rios;2014;1;Interior;0;0;1;0;5;6;74;0;8;9
3306107;Valença;2014;1;Interior;1;0;0;0;0;3;23;0;6;2
3306156;Varre-Sai;2014;1;Interior;0;0;0;0;0;0;0;0;0;0
3306206;Vassouras;2014;1;Interior;0;0;0;0;2;1;18;0;2;0
3306305;Volta Redonda;2014;1;Interior;7;0;0;0;6;36;183;0;53;24
3300100;Angra dos Reis;2014;2;Interior;7;0;0;0;8;34;112;0;14;16
3300159;Aperibé;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3300209;Araruama;2014;2;Interior;6;0;0;0;7;17;103;0;23;5
3300225;Areal;2014;2;Interior;0;0;0;0;0;0;0;0;0;0
3300233;Armação dos Búzios;2014;2;Interior;0;0;0;0;1;16;46;0;10;5
3300258;Arraial do Cabo;2014;2;Interior;1;0;0;0;2;2;23;0;2;7
3300308;Barra do Piraí;2014;2;Interior;4;0;0;0;1;3;29;0;4;12
3300407;Barra Mansa;2014;2;Interior;2;0;0;0;6;27;98;0;11;6
3300456;Belford Roxo;2014;2;Baixada Fluminense;21;0;1;1;15;298;134;0;25;16
