fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;hom_por_interv_policial;estupro;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos
3302809;Mendes;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9
3302858;Mesquita;2014;1;Baixada Fluminense;4;0;0;0;11;100;0;2;102;53;3;16;4;0;0;0;0;0;2;32;19;11;6;0;75
3302908;Miguel Pereira;2014;1;Interior;2;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;18
3303005;Miracema;2014;1;Interior;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
3303104;Natividade;2014;1;Interior;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7
3303203;Nilópolis;2014;1;Baixada Fluminense;9;0;1;0;3;116;17;1;134;71;5;14;3;0;0;0;3;0;14;13;31;8;11;0;90
3303302;Niterói;2014;1;Grande Niterói;7;0;0;3;13;300;10;40;350;140;1;32;8;0;0;0;0;0;42;104;152;35;51;0;412
3303401;Nova Friburgo;2014;1;Interior;3;0;0;0;8;16;4;0;20;0;0;6;1;0;0;0;0;0;9;19;4;2;5;0;100
3303500;Nova Iguaçu;2014;1;Baixada Fluminense;51;0;2;1;41;446;32;36;514;259;24;42;8;0;1;0;8;0;30;46;88;20;38;0;274
3303609;Paracambi;2014;1;Baixada Fluminense;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;1;0;2;0;10
3303708;Paraíba do Sul;2014;1;Interior;1;0;0;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;1;6;0;0;2;0;13
3303807;Paraty;2014;1;Interior;1;0;0;0;5;3;0;0;3;1;0;2;0;0;0;0;0;0;7;4;4;0;3;0;50
3303856;Paty do Alferes;2014;1;Interior;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3303906;Petrópolis;2014;1;Interior;0;0;0;0;6;2;0;1;3;0;1;1;1;0;0;0;0;0;3;23;27;9;16;0;97
